"","ensembl","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","Gene.stable.ID.version","Chromosome.scaffold.name","Gene.start..bp.","Gene.description","Gene.end..bp.","Strand","Transcript.count","Gene.type","Gene.name"
"1","ENSG00000000419",4721,881.554296769974,0.257523727409771,0.198817410572062,1.2952775447019,0.195224502669453,0.628369432994713,"DPM1","ENSG00000000419.12","20",50934867,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]",50958555,-1,6,"protein_coding","DPM1"
"2","ENSG00000000457",14489,189.307221197835,-0.0166979141902802,0.230857497258501,-0.072329962806375,0.942339320265845,0.988040869937637,"SCYL3","ENSG00000000457.14","1",169849631,"SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]",169894267,-1,5,"protein_coding","SCYL3"
"3","ENSG00000000460",3575,289.03672527103,-0.358979314788825,0.23641821454347,-1.51840802741034,0.128911569265708,0.548002792136016,"C1orf112","ENSG00000000460.17","1",169662007,"chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]",169854080,1,9,"protein_coding","C1orf112"
"4","ENSG00000001167",15118,642.627516266369,-0.00135116943732088,0.15747479619404,-0.00858022661388919,0.993154053656782,0.998144447579289,"NFYA","ENSG00000001167.14","6",41072945,"nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]",41099976,1,2,"protein_coding","NFYA"
"5","ENSG00000001497",7403,261.474095571356,0.169789146832635,0.194420149049582,0.873310444738601,0.382493889041406,0.785148626620963,"LAS1L","ENSG00000001497.16","X",65512582,"LAS1 like, ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]",65534775,-1,5,"protein_coding","LAS1L"
"6","ENSG00000001617",14324,106.993923835525,-0.0286924815108097,0.321823378102253,-0.0891559888532808,0.928957941837803,0.985125680296569,"SEMA3F","ENSG00000001617.12","3",50155045,"semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]",50189075,1,9,"protein_coding","SEMA3F"
"7","ENSG00000001629",942,785.033475617135,0.521198465702657,0.212298433051336,2.45502737920174,0.0140873858504847,0.22732733791212,"ANKIB1","ENSG00000001629.10","7",92245974,"ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]",92401383,1,7,"protein_coding","ANKIB1"
"8","ENSG00000001630",10080,983.27073198469,0.107668779447874,0.198682205674714,0.541914556878592,0.58787736817684,0.886188404765583,"CYP51A1","ENSG00000001630.17","7",92112153,"cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]",92134803,-1,4,"protein_coding","CYP51A1"
"9","ENSG00000001631",14374,435.649022704498,-0.017507056448503,0.207087507606979,-0.0845394135590676,0.932627567495812,0.985805691781089,"KRIT1","ENSG00000001631.15","7",92198969,"KRIT1 ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]",92246166,-1,24,"protein_coding","KRIT1"
"10","ENSG00000002587",8914,26.9854926199412,-0.277633484357185,0.412442273221391,-0.673145073585018,0.50085500086377,0.853706149898342,"HS3ST1","ENSG00000002587.10","4",11393150,"heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]",11429564,-1,3,"protein_coding","HS3ST1"
"11","ENSG00000002834",6966,2800.49848804429,0.157734718211034,0.168786452492185,0.934522385428641,0.350034494320275,0.763615721607706,"LASP1","ENSG00000002834.18","17",38869859,"LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]",38921770,1,9,"protein_coding","LASP1"
"12","ENSG00000003137",14872,134.707594462554,-0.0141225969662934,0.420461438229627,-0.0335883286366457,0.973205429416794,0.994113197152297,"CYP26B1","ENSG00000003137.8","2",72129238,"cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]",72148038,-1,5,"protein_coding","CYP26B1"
"13","ENSG00000003402",13823,2365.81560898228,-0.0193032448323472,0.13685140635299,-0.141052586500697,0.887828399556787,0.975516925032309,"CFLAR","ENSG00000003402.20","2",201116154,"CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]",201176687,1,25,"protein_coding","CFLAR"
"14","ENSG00000003756",1556,1040.72994501806,0.392625919047141,0.185000120873529,2.12230087847105,0.0338124797676331,0.330323589298066,"RBM5","ENSG00000003756.16","3",50088908,"RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]",50119021,1,26,"protein_coding","RBM5"
"15","ENSG00000004139",6772,24.101295718752,-0.485500164861866,0.505914624801255,-0.959648409161113,0.33723219648637,0.75675614764469,"SARM1","ENSG00000004139.14","17",28364356,"sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074]",28404049,1,8,"protein_coding","SARM1"
"16","ENSG00000004142",11164,700.531684565777,0.0866027552365256,0.204500287449957,0.4234847604198,0.671941615072569,0.913651245777271,"POLDIP2","ENSG00000004142.12","17",28346633,"DNA polymerase delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781]",28357527,-1,2,"protein_coding","POLDIP2"
"17","ENSG00000004399",6405,1510.98712959404,-0.236860106404607,0.233566918103572,-1.0140995494044,0.310535253029209,0.736763911549401,"PLXND1","ENSG00000004399.12","3",129555175,"plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]",129606818,-1,17,"protein_coding","PLXND1"
"18","ENSG00000004455",3089,1188.12876885221,0.300301224990385,0.184295893726553,1.6294515244922,0.103217468919995,0.507579750583353,"AK2","ENSG00000004455.16","1",33007940,"adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]",33080996,-1,15,"protein_coding","AK2"
"19","ENSG00000004478",11712,1666.16100197312,0.0690949834340929,0.187140495445584,0.369214494540997,0.711967852875777,0.923668458783365,"FKBP4","ENSG00000004478.8","12",2794970,"FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]",2805423,1,8,"protein_coding","FKBP4"
"20","ENSG00000004487",13171,646.977314884556,-0.0353695245534135,0.169543079806076,-0.208616739732871,0.834747441678944,0.962815240822306,"KDM1A","ENSG00000004487.16","1",23019443,"lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]",23083689,1,6,"protein_coding","KDM1A"
"21","ENSG00000004534",688,892.217170824443,0.500332095841452,0.188229583403864,2.65809490088465,0.0078583761167185,0.173626708357904,"RBM6","ENSG00000004534.15","3",49940007,"RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]",50100045,1,20,"protein_coding","RBM6"
"22","ENSG00000004766",14084,387.630963082407,-0.032110863811238,0.27967275323868,-0.114815846160865,0.9085910887017,0.980164157217695,"VPS50","ENSG00000004766.17","7",93232340,"VPS50 subunit of EARP/GARPII complex [Source:HGNC Symbol;Acc:HGNC:25956]",93361123,1,21,"protein_coding","VPS50"
"23","ENSG00000004864",13021,288.956716780825,-0.0584252692912804,0.258769914928031,-0.225780764767533,0.821371938297996,0.958445907274725,"SLC25A13","ENSG00000004864.13","7",96120220,"solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983]",96322147,-1,8,"protein_coding","SLC25A13"
"24","ENSG00000004866",5915,209.062540467273,0.214301712349449,0.196810276492691,1.08887460638981,0.276209185750091,0.709663305839842,"ST7","ENSG00000004866.20","7",116953238,"suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]",117230103,1,30,"protein_coding","ST7"
"25","ENSG00000004897",3672,1342.25767202863,0.324972379229888,0.21703313739094,1.49733991378707,0.134304834205181,0.555982512187624,"CDC27","ENSG00000004897.12","17",47117703,"cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]",47189422,-1,19,"protein_coding","CDC27"
"26","ENSG00000004975",6537,210.300845714679,-0.259606565857039,0.260942448264596,-0.994880547735944,0.319794364742398,0.743415528131089,"DVL2","ENSG00000004975.12","17",7225342,"dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]",7234517,-1,15,"protein_coding","DVL2"
